"Food_Web","Mode","Species","Rank","Strain"
"Caribbean_Families","out","F1",2,0.00152275887974347
"Caribbean_Families","out","F10",2,0.000264479045735536
"Caribbean_Families","out","F100",2,0.0550935580718455
"Caribbean_Families","out","F121",2,8.41610518500764e-05
"Caribbean_Families","out","F140",2,0.0576443474803837
"Caribbean_Families","out","F178",2,10.2801348995223
"Caribbean_Families","out","F19",2,0.00253735000407511
"Caribbean_Families","out","F47",2,2.96199074613969e-06
"Caribbean_Families","out","F6",2,2.50934668660526e-05
"Caribbean_Families","out","F60",2,8.92577910855888e-05
"Caribbean_Families","out","F67",2,4.15935973682886e-06
"Caribbean_Families","out","F73",2,0.0521825315565855
"Caribbean_Families","out","F86",2,0.00651372406586246
"Caribbean_Families","out","F105",2,1.82463009579468
"Caribbean_Families","out","F113",2,0.000250601836088408
"Caribbean_Families","out","F115",2,0.000855638862325174
"Caribbean_Families","out","F156",2,2.53381963266549
"Caribbean_Families","out","F173",2,0.000658462634913983
"Caribbean_Families","out","F206",2,3.55572702429166e-06
"Caribbean_Families","out","F56",2,0.000113846012212021
"Caribbean_Families","out","F63",2,2.74250283128003e-07
"Caribbean_Families","out","F123",2,0.000910810553698153
"Caribbean_Families","out","F49",2,0.00361564112797797
"Caribbean_Families","out","F8",2,0.000909053880354987
"Caribbean_Families","out","F128",2,0.000369998846995321
"Caribbean_Families","out","F11",2,0.000133359727134447
"Caribbean_Families","out","F203",2,0.0020772766216331
"Caribbean_Families","out","F53",2,3.01341604592931e-06
"Caribbean_Families","out","F114",2,8.18654596118138e-07
"Caribbean_Families","out","F126",2,0.00864727768359153
"Caribbean_Families","out","F120",2,1.45119382395049e-05
"Caribbean_Families","out","F131",2,0.000109132511335714
"Caribbean_Families","out","F139",2,8.74902109458326e-06
"Caribbean_Families","out","F14",2,0.00778249334996224
"Caribbean_Families","out","F154",2,4.09774420411771e-05
"Caribbean_Families","out","F166",2,0.00363279153808527
"Caribbean_Families","out","F22",2,1.41204997526599e-05
"Caribbean_Families","out","F24",2,0.102828285689431
"Caribbean_Families","out","F4",2,7.3631123125786e-05
"Caribbean_Families","out","F42",2,0.000989493682709125
"Caribbean_Families","out","F46",2,2.06644548875694e-06
"Caribbean_Families","out","F59",2,1.4573862958002e-05
"Caribbean_Families","out","F64",2,0.000256518902758955
"Caribbean_Families","out","F70",2,7.2664380682144e-05
"Caribbean_Families","out","F72",2,3.29700262854708e-05
"Caribbean_Families","out","F84",2,0.000491920135909499
"Caribbean_Families","out","F127",2,6.27671588279008e-06
"Caribbean_Families","out","F170",2,0.0544819485406983
"Caribbean_Families","out","F55",2,6.73291820817893e-06
"Caribbean_Families","out","F134",2,0.000374705419792631
"Caribbean_Families","out","F199",2,0.0438209550209353
"Caribbean_Families","out","F201",2,0.0452686563957879
"Caribbean_Families","out","F208",2,0.00575959020738271
"Caribbean_Families","out","F33",2,9.55499260614711
"Caribbean_Families","out","F194",2,0.000676871273387327
"Caribbean_Families","out","F54",2,8.15616891476812e-07
"Caribbean_Families","out","F62",2,8.15616891476812e-07
"Caribbean_Families","out","F92",2,1.2993437381586e-05
"Caribbean_Families","out","F66",2,0.00875187160887817
