"","Food_Web","Mode","Species","Rank","Strain"
"1","Caribbean_Families","out","F1",2,0.00152275887974347
"2","Caribbean_Families","out","F10",2,0.000264479045735536
"3","Caribbean_Families","out","F100",2,0.0550935580718455
"4","Caribbean_Families","out","F121",2,8.41610518500764e-05
"5","Caribbean_Families","out","F140",2,0.0576443474803837
"6","Caribbean_Families","out","F178",2,10.2801348995223
"7","Caribbean_Families","out","F19",2,0.00253735000407511
"8","Caribbean_Families","out","F47",2,2.96199074613969e-06
"9","Caribbean_Families","out","F6",2,2.50934668660526e-05
"10","Caribbean_Families","out","F60",2,8.92577910855888e-05
"11","Caribbean_Families","out","F67",2,4.15935973682886e-06
"12","Caribbean_Families","out","F73",2,0.0521825315565855
"13","Caribbean_Families","out","F86",2,0.00651372406586246
"14","Caribbean_Families","out","F105",2,1.82463009579468
"15","Caribbean_Families","out","F113",2,0.000250601836088408
"16","Caribbean_Families","out","F115",2,0.000855638862325174
"17","Caribbean_Families","out","F156",2,2.53381963266549
"18","Caribbean_Families","out","F173",2,0.000658462634913983
"19","Caribbean_Families","out","F206",2,3.55572702429166e-06
"20","Caribbean_Families","out","F56",2,0.000113846012212021
"21","Caribbean_Families","out","F63",2,2.74250283128003e-07
"22","Caribbean_Families","out","F123",2,0.000910810553698153
"23","Caribbean_Families","out","F49",2,0.00361564112797797
"24","Caribbean_Families","out","F8",2,0.000909053880354987
"25","Caribbean_Families","out","F128",2,0.000369998846995321
"26","Caribbean_Families","out","F11",2,0.000133359727134447
"27","Caribbean_Families","out","F203",2,0.0020772766216331
"28","Caribbean_Families","out","F53",2,3.01341604592931e-06
"29","Caribbean_Families","out","F114",2,8.18654596118138e-07
"30","Caribbean_Families","out","F126",2,0.00864727768359153
"31","Caribbean_Families","out","F120",2,1.45119382395049e-05
"32","Caribbean_Families","out","F131",2,0.000109132511335714
"33","Caribbean_Families","out","F139",2,8.74902109458326e-06
"34","Caribbean_Families","out","F14",2,0.00778249334996224
"35","Caribbean_Families","out","F154",2,4.09774420411771e-05
